Location	Zipcode
"3300 BLOCK F ST"	19134
"3700 BLOCK K ST"	19134
"2200 BLOCK S 6TH ST"	19148
"7800 BLOCK MICHENER AV"	19150
"D ST & E ROOSEVELT BLVD"	19120
"ALGON AV & SOLLY AV"	19152
"2700 BLOCK S 56TH ST"	19143
"E OLNEY AV & RISING SUN AV"	19120
"4300 BLOCK ARAMINGO AV"	19124
"5200 BLOCK MARKET ST"	19139
"100 BLOCK W WESTMORELAND ST"	19140
"6300 BLOCK DITMAN ST"	19135
"N 63RD ST & JEFFERSON ST"	19151
"1500 BLOCK N NEWKIRK ST"	19121
"3000 BLOCK FANSHAWE ST"	19149
"N 9TH ST & MARKET ST"	19107
"2500 BLOCK S 68TH ST"	19142
"6400 BLOCK GRAYS AV"	19142
"5700 BLOCK KEMBLE AV"	19141
"2400 BLOCK N PATTON ST"	19132
"4400 BLOCK N 5TH ST"	19140
"5700 BLOCK N 20TH ST"	19138
"1 BLOCK N 53RD ST"	19139
"800 BLOCK GRANITE ST"	19124
"5200 BLOCK LARCHWOOD AV"	19143
"5800 BLOCK PENTRIDGE ST"	19143
"2700 BLOCK N MASCHER ST"	19133
"1100 BLOCK W SOMERVILLE AV"	19141
"5900 BLOCK WARRINGTON AV"	19143
"2400 BLOCK W DAUPHIN ST"	19132
"4100 BLOCK FRANKFORD AV"	19124
"1200 BLOCK ALCOTT ST"	19149
"2500 BLOCK N 29TH ST"	19132
"5600 BLOCK MC MAHON ST"	19144
"6000 BLOCK BAYNTON ST"	19144
"3200 BLOCK N 13TH ST"	19140
"6500 BLOCK REGENT ST"	19142
"3000 BLOCK AMBER ST"	19134
"6000 BLOCK THEODORE ST"	19142
"2800 BLOCK N SWANSON ST"	19134
"1700 BLOCK N 59TH ST"	19151
"1 BLOCK N St BERNARD ST"	19139
"1 BLOCK N St BERNARD ST"	19139
"4600 BLOCK GRISCOM ST"	19124
"900 BLOCK ORTHODOX ST"	19124
"S BROAD ST  &  SNYDER AV"	19148
"3800 BLOCK MELON ST"	19104
"1900 BLOCK W ONTARIO"	19140
"5800 BLOCK CASTOR AV"	19149
"6300 BLOCK KEYSTONE ST"	19135
"2900 BLOCK N CHALMERS AV"	19132
"100 BLOCK SPRING GARDEN ST"	19123
"5000 BLOCK MC KEAN AV"	19148
"B ST  &  E ALLEGHENY AV"	19134
"600 BLOCK WALNUT LN"	19144
"1500 BLOCK S PATTON ST"	19146
"1500 BLOCK S PATTON ST"	19146
"2100 BLOCK CECIL B MOORE AV"	19121
"1000 BLOCK CANTRELL ST"	19148
"2200 BLOCK W THOMPSON ST"	19121
"7600 BLOCK WOOLSTON AV"	19150
"CECIL B MOORE AV  &  N AMERICAN ST"	19122
"S 44TH ST  &  SPRUCE ST"	19104
"2400 BLOCK CLIFFORD ST"	19121
"100 BLOCK W LOGAN"	19144
"1 BLOCK N 57TH ST"	19139
"1500 BLOCK N 10TH ST"	19122
"3200 BLOCK N STILLMAN ST"	19129
"12000 BLOCK KNIGHTS RD"	19154
"2600 BLOCK E VENANGO ST"	19134
"2800 BLOCK MUTTER ST"	19133
"2100 BLOCK W DAUPHIN ST"	19132
"2000 BLOCK S 67TH ST"	19142
"8000 BLOCK DITMAN ST "	19136
"E ROOSEVELT BLVD  &  WOODWARD ST"	19152
"600 BLOCK SOUTH ST"	19147
"1700 BLOCK N 24TH ST"	19121
"2100 BLOCK N NEWKIRK ST"	19121
"2400 BLOCK CLIFFORD ST"	19121
"3300 BLOCK D ST"	19120
"6000 BLOCK LAWNDALE AV"	19111
"700 BLOCK N 42ND ST"	19104
"3300 BLOCK ELLA ST"	19134
"3000 BLOCK PAGE ST"	19121
"1700 BLOCK MANTON ST"	19146
"1300 BLOCK RHAWN ST"	19152
"2400 BLOCK N MYRTLEWOOD ST"	19132
