"AREAKEY","INTPTLAT","INTPTLON","AREALAND","AREAWATR","AREALANM","AREAWATM","STUSAB","REGION","DIVISION","STATECE","STATE","COUNTY","COUNTYSC","COUSUB","COUSUBCC","COUSUBSC","PLACE","PLACECC","PLACEDC","PLACESC","TRACT","BLKGRP","BLOCK","CONCIT","CONCITCC","CONCITSC","AIANHHCE","AIANHH","AIANHHCC","AIHHTLI","AITSCE","AITS","AITSCC","ANRC","ANRCCC","MSACMSA","MASC","CMSA","MACCI","PMSA","NECMA","NECMACCI","NECMASC","EXI","UA","UASC","UATYPE","UR","CD106","CD108","CD109","CD110","SLDU","SLDL","VTD","VTDI","ZCTA3","ZCTA5","SUBMCD","SUBMCDCC","FUNCSTAT","GCUNI","LSADC","SDELM","SDSEC","SDUNI","TAZ","UGA","PUMA5","PUMA1","MACC","UACP","P001001","P002001","P003001","P004001","P005001","P005002","P005003","P005004","P005005","P005006","P005007","P006001","P006002","P006003","P006004","P006005","P006006","P006007","P006008","P052001","P052002","P052003","P052004","P052005","P052006","P052007","P052008","P052009","P052010","P052011","P052012","P052013","P052014","P052015","P052016","P052017"
"42017100102","40.069611","-74.948271","7415247","2569369","2.86","0.99","PA","1","2","23","42","017","20","","","","","","0","","100102","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2771","450","2771","16.2","2771","2771","2771","0","0","0","0","2771","2455","90","0","168","0","45","13","1346","65","45","61","108","70","102","83","106","96","134","164","147","112","29","11","13"
"42017100103","40.067861","-74.971769","1721885","0","0.66","0.00","PA","1","2","23","42","017","20","","","","","","0","","100103","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","2544","299","2420","12.4","2544","2544","2544","0","0","0","0","2544","2202","269","0","39","0","10","24","1000","51","39","80","59","120","62","89","79","56","97","57","124","50","16","10","11"
"42017100104","40.087454","-74.955239","2008699","7102","0.78","0.00","PA","1","2","23","42","017","20","","","","","","0","","100104","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4441","508","4475","11.4","4441","4441","4441","0","0","0","0","4441","3045","405","23","834","0","16","118","1782","386","114","87","72","92","169","66","104","101","114","158","156","50","62","30","21"
"42017100105","40.085343","-74.946218","2647110","0","1.02","0.00","PA","1","2","23","42","017","20","","","","","","0","","100105","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3316","392","3406","11.5","3316","3316","3316","0","0","0","0","3316","3251","23","0","28","0","14","0","1216","64","66","69","63","32","78","77","92","72","124","102","166","123","41","28","19"
"42017100201","40.140076","-74.973624","6647276","0","2.57","0.00","PA","1","2","23","42","017","20","","","","","","0","","100201","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4322","651","4322","15.1","4322","4322","4322","0","0","0","0","4322","3439","760","0","57","0","19","47","1632","109","67","94","107","100","72","130","114","86","202","206","245","49","36","15","0"
"42017100206","40.137759","-74.938574","4708235","0","1.82","0.00","PA","1","2","23","42","017","20","","","","","","0","","100206","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","4447","629","4447","14.1","4447","4447","4447","0","0","0","0","4447","3875","205","0","276","0","13","78","1773","53","104","29","35","93","93","94","73","116","222","396","269","96","53","27","20"
"42017100207","40.123928","-74.940463","5266832","0","2.03","0.00","PA","1","2","23","42","017","20","","","","","","0","","100207","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","3842","573","3842","14.9","3842","3842","3842","0","0","0","0","3842","3216","203","12","233","0","79","99","1466","266","117","100","87","71","63","65","54","73","146","121","155","91","37","20","0"
"42017100208","40.111143","-74.960610","4100529","0","1.58","0.00","PA","1","2","23","42","017","20","","","","","","0","","100208","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","6441","701","6441","10.9","6441","6441","6441","0","0","0","0","6441","4603","694","27","421","0","505","191","2512","167","165","179","185","193","217","289","137","141","194","297","179","113","27","20","9"
"42017100209","40.095977","-74.928578","4815122","1285","1.86","0.00","PA","1","2","23","42","017","20","","","","","","0","","100209","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","7958","898","7958","11.3","7958","7958","7958","0","0","0","0","7958","6118","708","9","823","0","95","205","3270","128","51","105","136","199","315","147","176","200","379","562","472","208","111","46","35"
"42017100210","40.117241","-74.911803","6665663","0","2.57","0.00","PA","1","2","23","42","017","20","","","","","","0","","100210","","","","","","","","","","","","","","","6162","23","77","N","6160","9999","9","00","","","","","","","","","","","","","","","","","","S","","","","","","","","","","","","7418","853","7418","11.5","7418","7418","7418","0","0","0","0","7418","6599","222","0","394","0","121","82","2520","109","57","113","92","110","150","129","153","107","254","403","418","255","100","26","44"
