long,lat,date,age,race,sex,time,cause,weapon,motive,zipcode
-75.24427375,39.97392954,01/01/2009,32,B,M,12P,\N,FIRARM,\N,19151
-75.14053512,39.99996026,06/01/2009,35,W,M,11A,\N,FIRARM,\N,19133
-75.20876745,39.95835936,06/01/2009,21,B,M,05P,\N,FIRARM,\N,19139
-75.12128388,39.99158513,08/01/2009,20,B,M,03P,\N,FIRARM,\N,19134
-75.23618172,39.95525911,10/01/2009,41,B,M,11P,\N,FIRARM,\N,19143
-75.11230905,40.04184072,10/01/2009,48,B,M,08A,\N,HANDS,\N,19120
-75.18064709,39.99266898,14/01/2009,24,B,M,09P,\N,FIRARM,\N,19132
-75.17216682,39.9360042,16/01/2009,20,B,M,09A,\N,FIRARM,\N,19146
-75.18251082,39.98689931,16/01/2009,51,B,M,09P,\N,FIRARM,\N,19121
-75.12696077,39.99990109,17/01/2009,24,W,M,02A,\N,FIRARM,\N,19134
-75.20734344,39.96481041,18/01/2009,30,B,M,01A,\N,FIRARM,\N,19104
-75.12098231,39.99913457,19/01/2009,34,W,M,02A,\N,KNIFE,\N,19134
-75.1740561,39.98132387,20/01/2009,52,B,M,01A,\N,FIRARM,\N,19121
-75.17955754,39.98774262,20/01/2009,17,B,M,07P,\N,FIRARM,\N,19121
-75.18156577,39.99118733,21/01/2009,30,B,M,01A,\N,FIRARM,\N,19132
-75.17415089,39.98078777,24/01/2009,35,B,M,03A,\N,FIRARM,\N,19121
-75.1523907,39.9419661,24/01/2009,22,W,M,06A,\N,KNIFE,\N,19147
-75.08216338,40.03442883,28/01/2009,33,W,M,07P,\N,FIRARM,\N,19149
-75.02577675,40.03633674,31/01/2009,28,B,M,05A,\N,KNIFE,\N,19136
-75.04006265,40.04042413,01/02/2009,27,W,M,09P,\N,FIRARM,\N,19136
-75.15438648,40.02227382,02/02/2009,43,B,M,04A,\N,FIRARM,\N,19140
-75.1502598,39.93690821,02/02/2009,35,B,M,02P,\N,FIRARM,\N,19147
-75.22296821,39.97393074,02/02/2009,19,B,M,08P,\N,FIRARM,\N,19131
-75.22886887,39.93808073,02/02/2009,53,B,F,08P,\N,FIRARM,\N,19143
-75.23177331,39.93842193,08/02/2009,24,B,M,03A,\N,FIRARM,\N,19143
-75.16822357,40.02153938,09/02/2009,34,W,F,12A,\N,FIRARM,\N,19144
-75.18449107,39.99270353,09/02/2009,64,B,F,01P,\N,OTHER,\N,19132
-75.24495188,39.95189685,09/02/2009,20,B,M,07P,\N,FIRARM,\N,19143
-75.17505057,39.93006458,13/02/2009,20,B,M,01A,\N,FIRARM,\N,19145
-75.14481547,40.03909601,13/02/2009,25,W,M,08P,\N,FIRARM,\N,19141
-75.15491959,39.99242687,14/02/2009,32,B,M,03P,\N,KNIFE,\N,19132
-75.16469357,40.04229579,18/02/2009,19,B,M,09P,\N,FIRARM,\N,19144
-75.1556018,39.92124244,21/02/2009,29,B,M,01A,\N,FIRARM,\N,19148
-75.15374742,39.9876419,21/02/2009,30,B,F,10A,\N,KNIFE,\N,19132
-75.15700496,40.01439194,21/02/2009,24,W,F,09P,\N,FIRARM,\N,19140
-75.07836026,40.02732034,23/02/2009,71,W,M,08P,\N,HANDS,\N,19124
-75.16690568,39.99875631,23/02/2009,21,B,M,10P,\N,FIRARM,\N,19132
-75.15223273,39.97234965,23/02/2009,25,B,M,11P,\N,FIRARM,\N,19122
-75.15223273,39.97234965,23/02/2009,21,B,M,11P,\N,FIRARM,\N,19122
-75.19577761,39.96240636,24/02/2009,30,B,M,10P,\N,FIRARM,\N,19104
-75.08629523,40.0179632,26/02/2009,25,B,M,07A,\N,FIRARM,\N,19124
-75.13735765,39.99173983,26/02/2009,21,W,M,09P,\N,FIRARM,\N,19133
-75.12833901,40.03771419,27/02/2009,67,A,M,06P,\N,FIRARM,\N,19120
-75.17463186,39.96846885,01/03/2009,55,B,M,06P,\N,HANDS,\N,19130
-75.22600735,39.9400951,03/03/2009,33,B,M,01A,\N,FIRARM,\N,19143
-74.9876346,40.11394961,03/03/2009,83,W,M,04P,\N,HANDS,\N,19154
-75.1049227,39.99489061,04/03/2009,32,W,M,03P,\N,FIRARM,\N,19134
-75.15684752,40.01732205,06/03/2009,30,B,M,02A,\N,FIRARM,\N,19140
-75.14122913,39.98756085,07/03/2009,28,B,M,07P,\N,FIRARM,\N,19133
-75.2259582,39.95517937,08/03/2009,21,B,M,01A,\N,FIRARM,\N,19139
-75.0073643,40.04776621,11/03/2009,36,B,M,10P,\N,FIRARM,\N,19136
-75.03091264,40.03235661,12/03/2009,25,W,M,11P,\N,FIRARM,\N,19136
-75.24279522,39.9524195,14/03/2009,46,B,F,02A,\N,OTHER,\N,19143
-75.1331615,39.98009136,15/03/2009,31,W,F,02A,\N,KNIFE,\N,19125
-75.13252914,39.98318697,15/03/2009,22,B,M,12A,\N,FIRARM,\N,19133
-75.14934079,40.00431437,15/03/2009,18,B,M,02A,\N,FIRARM,\N,19140
-75.17855072,39.98298342,15/03/2009,35,B,M,09P,\N,FIRARM,\N,19121
-75.18170228,39.93091869,16/03/2009,31,B,M,11P,\N,HANDS,\N,19145
-75.14393697,40.02878297,17/03/2009,28,B,M,08A,\N,FIRARM,\N,19141
-75.26334614,39.9695007,18/03/2009,26,B,F,12P,\N,FIRARM,\N,19151
-75.12939762,39.99801013,19/03/2009,25,B,M,01A,\N,FIRARM,\N,19133
-75.16267056,40.0107005,20/03/2009,74,B,F,06P,\N,KNIFE,\N,19140
-75.01703214,40.0339258,23/03/2009,55,B,M,09A,\N,HANDS,\N,19136
-75.15654464,40.02253596,25/03/2009,38,B,M,08P,\N,FIRARM,\N,19140
