DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200714098361,111,111 - Homicide: Handgun,5700 BLOCK GERMANTOWN AV,12/30/2007 4:37:00 AM,14,H,53. Highway (Outside Structure),2689422.56145064,266512.961934368
200715139537,123,123 - Homicide: Non-Traffic,5200 BLOCK E ROOSEVELT BLVD,12/30/2007 3:25:00 AM,15,E,53. Highway (Outside Structure),2713799.23919164,264847.910415349
200702087656,118,118 - Homicide: felon by Civilian,6600 BLOCK KINDRED ST,12/27/2007 3:00:00 PM,02,K,70. Private Residence,2718109.8864518,268961.631073101
200722077032,111,111 - Homicide: Handgun,2300 BLOCK W OAKDALE ST,12/25/2007 9:52:00 PM,22,K,53. Highway (Outside Structure),2691386.10322228,251681.177383143
200719086218,111,111 - Homicide: Handgun,400 BLOCK N 60TH ST,12/25/2007 7:30:00 PM,19,M,53. Highway (Outside Structure),2672125.05778291,241572.796436829
200722076985,116,116 - Homicide: Other,2500 BLOCK N SYDENHAM ST,12/25/2007 2:16:00 PM,22,E,53. Highway (Outside Structure),2694785.2650562,250559.706663348
200792010325,123,123 - Homicide: Non-Traffic,3600 BLOCK LINCOLN DR,12/24/2007 2:45:00 PM,92,E,88. Park,2682044.05861787,259584.87845128
200718083773,111,111 - Homicide: Handgun,5300 BLOCK DELANCEY ST,12/24/2007 3:28:00 AM,18,K,53. Highway (Outside Structure),2675228.64070463,236329.102203542
200712109713,111,111 - Homicide: Handgun,S 54TH ST &  KINGSESSING AV,12/22/2007 3:23:00 PM,12,K,53. Highway (Outside Structure),2677389.96224456,230642.378818181
200712109201,111,111 - Homicide: Handgun,1800 BLOCK S CECIL ST,12/20/2007 6:39:00 PM,12,P,53. Highway (Outside Structure),2675346.64091432,229962.001830903
200718082925,111,111 - Homicide: Handgun,6000 BLOCK COBBS CREEK PKWY,12/20/2007 5:11:00 AM,18,U,70. Private Residence,2670927.216008,233281.399651787
200739077939,111,111 - Homicide: Handgun,1600 BLOCK W ERIE AV,12/19/2007 2:14:00 AM,39,D,53. Highway (Outside Structure),2695456.40775255,257055.738183187
200724107277,111,111 - Homicide: Handgun,2900 BLOCK BOUDINOT ST,12/17/2007 9:39:00 AM,24,P,53. Highway (Outside Structure),2704440.23963388,251644.759131881
200719084216,111,111 - Homicide: Handgun,4100 BLOCK EDGLEY AV,12/16/2007 4:34:00 PM,19,F,53. Highway (Outside Structure),2678455.45423076,251661.782394778
200723052141,111,111 - Homicide: Handgun,2200 BLOCK JEFFERSON ST,12/13/2007 5:39:00 PM,23,J,19. Grocery Store/Deli,2690850.71891566,245245.381187084
200723052058,121,121 - Homicide: Auto,N BROAD ST  &  MASTER ST,12/13/2007 2:49:00 AM,23,B,53. Highway (Outside Structure),2694624.52884669,244216.05257117
200712106307,111,111 - Homicide: Handgun,2500 BLOCK S 58TH ST,12/11/2007 1:25:00 PM,12,I,53. Highway (Outside Structure),2677952.15067962,226988.462431472
200701040852,114,114 - Homicide: Knife,1900 BLOCK S MOLE ST,12/11/2007 7:15:00 AM,01,A,53. Highway (Outside Structure),2691434.95745125,226680.028446143
200719082756,111,111 - Homicide: Handgun,6000 BLOCK LANSDOWNE AV,12/10/2007 11:32:00 AM,19,J,53. Highway (Outside Structure),2671554.81356005,244036.206143396
200726085848,111,111 - Homicide: Handgun,400 BLOCK W CUMBERLAND ST,12/8/2007 11:29:00 PM,26,P,53. Highway (Outside Structure),2700004.58174492,249576.791768243
200701040451,111,111 - Homicide: Handgun,1600 BLOCK MC KEAN ST,12/8/2007 1:30:00 AM,01,A,53. Highway (Outside Structure),2691243.46955889,226452.116515576
200708055835,115,115 - Homicide: Beating,8300 BLOCK STATE RD,12/7/2007 7:40:00 PM,08,A,82. Prison Facility,2733704.33539251,267068.467683782
200726085447,121,121 - Homicide: Auto,1600 BLOCK FRANKFORD AV,12/7/2007 9:17:00 AM,26,D,53. Highway (Outside Structure),2701745.13630014,244286.365090678
200718079684,123,123 - Homicide: Non-Traffic,3400 BLOCK CIVIC CENTER BLVD,12/6/2007 5:58:00 PM,18,B,53. Highway (Outside Structure),2685254.85354457,234298.059372617
200712104470,111,111 - Homicide: Handgun,8000 BLOCK BRUNSWICK AV,12/5/2007 12:46:00 AM,12,R,53. Highway (Outside Structure),2671279.10937307,216076.112121754
200724103470,123,123 - Homicide: Non-Traffic,RICHMOND ST  &  E WESTMORELAND ST,12/4/2007 5:01:00 PM,24,F,53. Highway (Outside Structure),2711258.12563571,248261.540286149
200716054652,111,111 - Homicide: Handgun,4000 BLOCK GREEN ST,12/3/2007 11:45:00 PM,16,J,53. Highway (Outside Structure),2682349.01321115,239387.184182285
200708055016,123,123 - Homicide: Non-Traffic,HOLME AV  &  ACADEMY RD,12/2/2007 12:01:00 PM,08,G,53. Highway (Outside Structure),2735743.46891554,275812.985903568
