3300 BLOCK F ST	1/31/2007 2:29:00 PM	19134
3700 BLOCK K ST	1/30/2007 9:55:00 PM	19134
2200 BLOCK S 6TH ST	1/30/2007 12:46:00 AM	19148
7800 BLOCK MICHENER AV	1/29/2007 11:06:00 PM	19150
D ST & E ROOSEVELT BLVD	1/28/2007 3:08:00 AM	19120
ALGON AV & SOLLY AV	1/28/2007 2:07:00 AM	19152
2700 BLOCK S 56TH ST	1/27/2007 11:05:00 AM	19143
E OLNEY AV & RISING SUN AV	1/26/2007 3:08:00 PM	19120
4300 BLOCK ARAMINGO AV	1/26/2007 6:07:00 AM	19124
5200 BLOCK MARKET ST	1/25/2007 12:31:00 AM	19139
100 BLOCK W WESTMORELAND ST	1/22/2007 11:24:00 PM	19140
6300 BLOCK DITMAN ST	1/20/2007 12:34:00 AM	19135
N 63RD ST & JEFFERSON ST	1/17/2007 6:28:00 PM	19151
1500 BLOCK N NEWKIRK ST	1/14/2007 5:16:00 PM	19121
3000 BLOCK FANSHAWE ST	1/14/2007 1:54:00 AM	19149
N 9TH ST & MARKET ST	1/14/2007 1:49:00 AM	19107
2500 BLOCK S 68TH ST	1/14/2007 12:03:00 AM	19142
6400 BLOCK GRAYS AV	1/13/2007 5:57:00 PM	19142
5700 BLOCK KEMBLE AV	1/13/2007 3:19:00 PM	19141
2400 BLOCK N PATTON ST	1/13/2007 10:03:00 AM	19132
4400 BLOCK N 5TH ST	1/13/2007 6:17:00 AM	19140
5700 BLOCK N 20TH ST	1/12/2007 10:12:00 PM	19138
1 BLOCK N 53RD ST	1/11/2007 10:47:00 PM	19139
800 BLOCK GRANITE ST	1/11/2007 12:30:00 PM	19124
5200 BLOCK LARCHWOOD AV	1/10/2007 8:26:00 PM	19143
5800 BLOCK PENTRIDGE ST	1/10/2007 6:51:00 PM	19143
2700 BLOCK N MASCHER ST	1/9/2007 1:11:00 PM	19133
1100 BLOCK W SOMERVILLE AV	1/8/2007 4:55:00 AM	19141
5900 BLOCK WARRINGTON AV	1/8/2007 2:12:00 AM	19143
2400 BLOCK W DAUPHIN ST	1/7/2007 10:52:00 PM	19132
4100 BLOCK FRANKFORD AV	1/7/2007 8:38:00 PM	19124
1200 BLOCK ALCOTT ST	1/7/2007 10:29:00 AM	19149
2500 BLOCK N 29TH ST	1/7/2007 1:02:00 AM	19132
5600 BLOCK MC MAHON ST	1/5/2007 10:31:00 PM	19144
6000 BLOCK BAYNTON ST	1/5/2007 7:03:00 PM	19144
3200 BLOCK N 13TH ST	1/4/2007 12:24:00 AM	19140
6500 BLOCK REGENT ST	1/4/2007 12:18:00 AM	19142
3000 BLOCK AMBER ST	1/3/2007 7:57:00 PM	19134
6000 BLOCK THEODORE ST	1/3/2007 7:47:00 PM	19142
2800 BLOCK N SWANSON ST	1/3/2007 12:11:00 PM	19134
