DC_KEY,UCR,UCR_TEXT,LOCATION,DISPATCH_DATE_TIME,DC_DIST,SECTOR,PREMISE_TEXT,X_COORD,Y_COORD
200712086147,123,123 - Homicide: Non-Traffic,1900 BLOCK S 65TH ST,9/30/2007 2:53:00 PM,12,J,53. Highway (Outside Structure),2673007.32177155,226792.159657086
200706058584,123,123 - Homicide: Non-Traffic,N 2ND ST  &  SPRING GARDEN ST,9/28/2007 3:32:00 AM,06,O,53. Highway (Outside Structure),2699631.71005403,239341.440863545
200701031622,117,117 - Homicide: felon by Police Officer,2300 BLOCK W PASSYUNK AV,9/28/2007 3:02:00 AM,01,J,132. Mini Markets,2687764.51614304,225100.791970224
200717045777,111,111 - Homicide: Handgun,1500 BLOCK S 28TH ST,9/26/2007 6:15:00 PM,17,L,53. Highway (Outside Structure),2686018.53913642,229442.636671731
200715104292,123,123 - Homicide: Non-Traffic,7000 BLOCK TORRESDALE AV,9/26/2007 10:26:00 AM,15,T,53. Highway (Outside Structure),2727171.20946729,264464.430975822
200719064817,123,123 - Homicide: Non-Traffic,400 BLOCK N 52ND ST,9/25/2007 5:45:00 PM,19,X,53. Highway (Outside Structure),2676163.42344648,240958.556300527
200719064749,111,111 - Homicide: Handgun,5900 BLOCK RACE ST,9/25/2007 1:50:00 PM,19,P,53. Highway (Outside Structure),2672355.92632634,240072.160661582
200718062628,114,114 - Homicide: Knife,5800 BLOCK OSAGE AV,9/25/2007 3:50:00 AM,18,O,53. Highway (Outside Structure),2672443.74093246,236300.969100345
200719064571,123,123 - Homicide: Non-Traffic,N 63RD ST  &  W GIRARD AV,9/24/2007 6:08:00 PM,19,W,53. Highway (Outside Structure),2670469.0390864,242016.399777542
200725102923,111,111 - Homicide: Handgun,N 8TH ST  &  W SOMERSET ST,9/23/2007 1:45:00 AM,25,I,53. Highway (Outside Structure),2698340.20170384,251551.283892619
200724081033,116,116 - Homicide: Other,2900 BLOCK ROSEHILL ST,9/22/2007 2:47:00 AM,24,P,70. Private Residence,2703921.09167045,251412.757689128
200716042621,111,111 - Homicide: Handgun,200 BLOCK RAMSEY ST,9/22/2007 2:06:00 AM,16,R,53. Highway (Outside Structure),2676891.6070452,239756.476165019
200724081053,123,123 - Homicide: Non-Traffic,ROSEHILL ST  &  E INDIANA AV,9/22/2007 2:04:00 AM,24,P,53. Highway (Outside Structure),2703981.18039716,251885.919841037
200725101751,116,116 - Homicide: Other,4300 BLOCK N 8TH ST,9/20/2007 9:25:00 AM,25,L,70. Private Residence,2699530.99690762,260221.758137866
200722055775,111,111 - Homicide: Handgun,2500 BLOCK N 17TH ST,9/20/2007 12:10:00 AM,22,E,53. Highway (Outside Structure),2694094.88083902,250411.243946807
200718061259,123,123 - Homicide: Non-Traffic,S 55TH ST  &  PINE ST,9/19/2007 4:42:00 PM,18,M,53. Highway (Outside Structure),2674280.06378674,236258.333287246
200725100123,111,111 - Homicide: Handgun,3100 BLOCK N FRONT ST,9/16/2007 2:45:00 AM,25,H,53. Highway (Outside Structure),2702553.09213905,252644.572483616
200715100434,123,123 - Homicide: Non-Traffic,1900 BLOCK MARGARET ST,9/16/2007 2:25:00 AM,15,F,53. Highway (Outside Structure),2716738.01606798,259206.005596702
200707031252,123,123 - Homicide: Non-Traffic,E ROOSEVELT BLVD  &  WINCHESTER AV,9/14/2007 7:15:00 PM,07,D,53. Highway (Outside Structure),2726772.18864627,279535.696986051
200722054601,114,114 - Homicide: Knife,2200 BLOCK W DIAMOND ST,9/14/2007 6:39:00 PM,22,M,53. Highway (Outside Structure),2691470.33390938,248466.724916443
200724078514,111,111 - Homicide: Handgun,1800 BLOCK E CORNWALL ST,9/14/2007 3:53:00 AM,24,H,70. Private Residence,2708114.76632295,252945.290210245
200715099517,121,121 - Homicide: Auto,OXFORD CIR  &  E ROOSEVELT BLVD,9/14/2007 2:11:00 AM,15,K,53. Highway (Outside Structure),2714914.93254675,265642.840871561
200702061888,123,123 - Homicide: Non-Traffic,6700 BLOCK OXFORD AV,9/11/2007 2:58:00 PM,02,J,53. Highway (Outside Structure),2714171.86022048,272645.841299085
200701029400,114,114 - Homicide: Knife,1400 BLOCK PORTER ST,9/10/2007 2:26:00 PM,01,E,66. Apartment House/Condominium,2691508.26819644,224102.870071429
200724077041,114,114 - Homicide: Knife,2700 BLOCK KENSINGTON AV,9/9/2007 4:40:00 PM,24,P,53. Highway (Outside Structure),2703787.27619217,250088.002959276
200702061078,111,111 - Homicide: Handgun,6000 BLOCK CASTOR AV,9/8/2007 1:43:00 AM,02,S,53. Highway (Outside Structure),2715655.18002297,267028.436658527
200726065169,117,117 - Homicide: felon by Police Officer,100 BLOCK W SUSQUEHANNA AV,9/8/2007 1:23:00 AM,26,J,53. Highway (Outside Structure),2701877.15437888,247595.182774969
200739055885,111,111 - Homicide: Handgun,3300 BLOCK N 19TH ST,9/7/2007 11:51:00 PM,39,C,53. Highway (Outside Structure),2693825.31729046,255036.957744374
200717042408,111,111 - Homicide: Handgun,1700 BLOCK DICKINSON ST,9/7/2007 10:59:00 PM,17,A,53. Highway (Outside Structure),2690817.97569524,228787.048255176
200715096941,123,123 - Homicide: Non-Traffic,DELAWARE EXP RAMP B  &  COTTMAN AV,9/7/2007 9:15:00 AM,15,O,53. Highway (Outside Structure),2729859.67132081,263622.118547445
200726064793,121,121 - Homicide: Auto,2400 BLOCK N LEITHGOW ST,9/6/2007 4:53:00 PM,26,P,53. Highway (Outside Structure),2699801.09936148,249061.105812189
200722052546,121,121 - Homicide: Auto,1800 BLOCK W SUSQUEHANNA AV,9/6/2007 1:06:00 AM,22,G,53. Highway (Outside Structure),2693414.32651055,248780.624949928
200724075448,123,123 - Homicide: Non-Traffic,3600 BLOCK ARAMINGO AV,9/4/2007 4:25:00 PM,24,K,53. Highway (Outside Structure),2711732.20410166,251627.475330013
200709043254,123,123 - Homicide: Non-Traffic,1800 BLOCK WALNUT ST,9/3/2007 12:17:00 PM,09,E,53. Highway (Outside Structure),2691354.45376954,235282.734622303
200722051888,111,111 - Homicide: Handgun,N MOLE ST  &  W SERGEANT ST,9/3/2007 6:34:00 AM,22,E,53. Highway (Outside Structure),2694675.78189207,250656.74032842
200724074753,121,121 - Homicide: Auto,800 BLOCK E LUZERNE ST,9/2/2007 4:43:00 AM,24,N,53. Highway (Outside Structure),2707133.37686951,257164.31146458
200739054591,123,123 - Homicide: Non-Traffic,4800 BLOCK RIDGE AV,9/2/2007 1:15:00 AM,39,O,53. Highway (Outside Structure),2681528.5648313,258284.436367038
200792007056,111,111 - Homicide: Handgun,3300 BLOCK DIAMOND DRIVE,9/1/2007 11:32:00 PM,92,C,53. Highway (Outside Structure),2686535.61309826,249148.765968432
200717041327,114,114 - Homicide: Knife,1400 BLOCK REED ST,9/1/2007 9:23:00 PM,17,O,70. Private Residence,2692486.02080285,229020.010495176
200725094496,111,111 - Homicide: Handgun,100 BLOCK W WYOMING AV,9/1/2007 6:09:00 PM,25,F,53. Highway (Outside Structure),2703674.73402583,261654.278387901
200719058245,111,111 - Homicide: Handgun,6100 BLOCK CALLOWHILL ST,9/1/2007 4:01:00 AM,19,M,53. Highway (Outside Structure),2671387.54297684,241326.266846191
